frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
33,10,motorbike,946,280,25,59
33,3,person,455,320,10,61
33,4,person,485,337,12,51
34,1,smallcar,528,292,33,49
34,1,motorbike,792,308,43,60
34,2,motorbike,877,284,29,54
34,4,motorbike,971,283,35,72
34,7,motorbike,777,292,33,70
34,8,motorbike,910,287,27,53
34,10,motorbike,948,281,25,60
34,3,person,455,320,10,61
34,4,person,485,337,12,51
36,1,smallcar,528,291,33,49
36,1,motorbike,790,308,43,60
36,2,motorbike,875,285,29,53
36,4,motorbike,970,282,36,73
36,7,motorbike,775,292,32,70
36,8,motorbike,908,287,27,53
36,10,motorbike,948,282,25,59
36,3,person,455,320,10,61
36,4,person,485,337,12,51
37,1,smallcar,529,290,32,48
37,1,motorbike,784,309,44,60
37,2,motorbike,870,285,30,55
37,4,motorbike,970,282,35,74
37,7,motorbike,772,291,34,71
37,8,motorbike,904,287,28,54
37,10,motorbike,946,281,25,58
37,3,person,455,320,10,61
38,1,smallcar,529,290,32,46
38,1,motorbike,780,307,45,62
38,2,motorbike,866,285,31,55
38,4,motorbike,970,282,36,74
38,7,motorbike,770,288,33,69
38,8,motorbike,900,285,29,57
38,10,motorbike,944,282,26,58
38,3,person,455,320,10,61
39,1,smallcar,529,289,32,47
39,1,motorbike,776,305,46,66
39,2,motorbike,864,286,32,55
39,4,motorbike,971,285,34,70
39,7,motorbike,768,288,33,68
39,8,motorbike,898,286,29,56
39,10,motorbike,943,283,26,59
39,3,person,455,320,10,61
41,1,smallcar,529,288,33,47
41,1,motorbike,773,305,46,66
41,2,motorbike,861,288,31,53
41,4,motorbike,970,286,34,69
41,8,motorbike,895,287,30,56
41,10,motorbike,941,283,27,59
41,3,person,455,320,10,61
42,1,smallcar,530,288,31,46
42,1,motorbike,763,298,51,74
42,2,motorbike,855,289,31,53
42,4,motorbike,970,286,34,69
42,8,motorbike,890,288,28,53
42,10,motorbike,938,282,28,61
42,3,person,455,320,10,61
43,1,smallcar,530,287,31,46
43,1,motorbike,760,300,49,72
43,2,motorbike,851,290,31,52
43,8,motorbike,884,289,29,54
43,10,motorbike,935,282,28,61
43,3,person,455,320,10,61
43,4,person,485,337,12,51
45,1,smallcar,530,287,32,46
45,4,smallcar,854,261,40,36
45,1,motorbike,757,303,48,69
45,2,motorbike,847,289,33,54
45,8,motorbike,881,289,29,53
45,10,motorbike,932,282,29,61
45,3,person,455,320,10,61
45,4,person,485,337,12,51
46,1,smallcar,531,286,31,45
46,4,smallcar,854,261,40,36
46,1,motorbike,755,306,46,65
46,2,motorbike,844,288,34,55
46,8,motorbike,878,289,29,54
46,10,motorbike,930,284,28,59
