frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
19,1,motorbike,831,310,53,73
19,2,motorbike,1000,286,34,63
19,3,motorbike,1035,286,31,62
19,4,motorbike,806,277,17,31
19,7,motorbike,107,384,30,54
20,1,smallcar,440,389,82,85
20,2,smallcar,522,321,45,50
20,3,smallcar,949,273,82,52
20,4,smallcar,115,368,58,47
20,5,smallcar,727,271,75,40
20,6,smallcar,516,298,33,37
20,8,smallcar,534,273,29,33
20,9,smallcar,99,359,37,31
20,1,motorbike,831,310,53,73
20,2,motorbike,1000,286,34,63
20,3,motorbike,1035,286,31,62
20,4,motorbike,806,277,17,31
21,1,smallcar,443,388,80,84
21,2,smallcar,523,320,44,50
21,3,smallcar,949,273,82,52
21,4,smallcar,115,368,58,47
21,5,smallcar,727,270,75,41
21,6,smallcar,516,298,33,36
21,8,smallcar,535,273,27,32
21,9,smallcar,99,359,37,31
21,1,motorbike,831,310,53,73
21,2,motorbike,1000,286,34,63
21,3,motorbike,1035,286,31,62
21,4,motorbike,806,277,17,31
22,1,smallcar,446,386,78,82
22,2,smallcar,523,319,44,51
22,3,smallcar,949,273,82,52
22,4,smallcar,115,368,57,47
22,5,smallcar,727,270,75,41
22,6,smallcar,516,297,34,37
22,8,smallcar,534,271,30,35
22,9,smallcar,99,359,38,31
22,1,motorbike,831,310,53,73
22,2,motorbike,1000,286,34,63
22,3,motorbike,1035,286,31,62
22,4,motorbike,806,277,17,31
22,7,motorbike,102,387,29,53
22,10,motorbike,53,391,12,54
23,1,smallcar,448,383,78,81
23,2,smallcar,523,319,44,50
23,3,smallcar,949,273,82,52
23,4,smallcar,114,368,58,47
23,5,smallcar,728,271,73,40
23,6,smallcar,516,296,35,38
23,8,smallcar,534,270,31,37
23,9,smallcar,99,359,38,31
23,1,motorbike,831,310,53,73
23,2,motorbike,1000,286,34,63
23,3,motorbike,1034,286,33,62
23,4,motorbike,806,277,17,31
23,7,motorbike,100,386,30,55
23,10,motorbike,53,391,13,54
24,1,smallcar,450,380,77,81
24,2,smallcar,523,318,44,49
24,3,smallcar,949,273,82,52
24,4,smallcar,113,368,59,47
24,5,smallcar,727,270,75,41
24,6,smallcar,516,296,35,37
24,8,smallcar,534,269,31,38
24,9,smallcar,99,359,38,32
24,1,motorbike,831,310,53,73
24,2,motorbike,1000,286,34,63
24,3,motorbike,1034,286,33,62
24,4,motorbike,806,277,17,31
24,10,motorbike,53,391,13,54
25,1,smallcar,452,378,76,81
25,2,smallcar,523,317,43,49
25,3,smallcar,949,273,82,52
25,4,smallcar,112,368,59,47
25,5,smallcar,727,271,74,40
25,6,smallcar,516,296,35,37
25,8,smallcar,533,268,33,39
25,9,smallcar,99,359,39,32
25,1,motorbike,831,310,53,73
25,2,motorbike,1000,286,34,63
25,3,motorbike,1034,286,33,62
25,4,motorbike,806,277,17,31
25,10,motorbike,53,391,13,55
26,1,smallcar,454,376,76,80
26,2,smallcar,523,316,43,49
26,3,smallcar,949,273,82,52
26,4,smallcar,111,367,60,49
26,5,smallcar,728,271,73,40
26,6,smallcar,516,295,37,39
26,8,smallcar,533,270,31,37
26,1,motorbike,831,310,53,73
26,2,motorbike,1000,286,34,63
26,3,motorbike,1034,286,33,62
26,4,motorbike,806,277,17,31
26,10,motorbike,53,391,12,54
27,1,smallcar,456,375,75,79
27,2,smallcar,523,315,44,50
27,3,smallcar,949,273,82,52
27,4,smallcar,110,367,62,50
27,5,smallcar,728,271,73,40
27,6,smallcar,516,294,37,39
27,8,smallcar,533,269,32,38
27,1,motorbike,831,310,53,73
27,2,motorbike,1000,286,34,63
27,3,motorbike,1034,286,33,62
27,4,motorbike,806,277,17,31
27,10,motorbike,53,391,12,55
28,1,smallcar,458,375,73,76
28,2,smallcar,522,314,45,51
28,3,smallcar,950,273,80,52
28,4,smallcar,109,367,62,51
28,5,smallcar,727,270,74,41
28,6,smallcar,516,293,38,40
28,8,smallcar,534,270,30,36
28,1,motorbike,831,310,53,73
28,2,motorbike,1000,286,34,63
28,3,motorbike,1034,286,33,62
28,4,motorbike,806,277,17,31
28,10,motorbike,52,391,13,55
28,2,person,989,441,35,158
29,1,smallcar,460,372,71,76
29,2,smallcar,522,313,45,52
29,3,smallcar,950,273,80,52
29,4,smallcar,108,367,63,51
29,5,smallcar,727,270,75,41
29,6,smallcar,517,292,37,40
29,8,smallcar,534,270,30,35
29,1,motorbike,831,310,53,73
29,2,motorbike,1000,286,34,63
29,3,motorbike,1034,286,33,62
29,4,motorbike,806,277,17,31
29,7,motorbike,87,394,28,53
29,10,motorbike,52,391,13,55
29,2,person,988,444,35,156
30,1,smallcar,462,370,70,75
30,2,smallcar,523,312,43,51
30,3,smallcar,950,273,80,52
30,4,smallcar,108,367,63,51
30,5,smallcar,727,270,75,41
30,8,smallcar,534,270,30,35
30,1,motorbike,831,310,53,73
30,2,motorbike,1000,286,34,63
30,3,motorbike,1034,286,33,62
30,4,motorbike,806,277,17,31
30,7,motorbike,87,396,27,50
30,10,motorbike,52,391,13,55
30,2,person,988,446,34,155
31,1,smallcar,463,369,69,73
31,2,smallcar,524,312,43,51
31,3,smallcar,950,273,80,52
31,4,smallcar,108,367,63,51
31,5,smallcar,726,270,75,41
31,6,smallcar,517,292,37,39
31,8,smallcar,534,269,30,37
31,1,motorbike,831,310,53,73
31,2,motorbike,1000,286,34,63
31,3,motorbike,1034,286,33,62
31,4,motorbike,806,277,17,31
31,7,motorbike,85,396,27,51
31,10,motorbike,52,391,12,55
31,2,person,988,451,33,147
32,1,smallcar,463,366,72,76
32,2,smallcar,524,311,43,51
32,3,smallcar,950,273,80,52
32,4,smallcar,107,367,64,51
32,5,smallcar,727,270,75,41
32,6,smallcar,518,292,36,38
32,8,smallcar,533,269,32,37
32,1,motorbike,831,310,53,73
32,2,motorbike,1000,286,34,63
32,3,motorbike,1034,286,33,62
32,4,motorbike,806,277,17,31
32,2,person,988,453,32,145
33,1,smallcar,464,364,72,78
33,2,smallcar,525,311,41,48
33,3,smallcar,949,273,82,53
33,4,smallcar,106,367,65,51
33,5,smallcar,727,270,75,41
33,6,smallcar,519,292,35,37
33,8,smallcar,533,269,32,37
33,1,motorbike,831,310,53,74
33,2,motorbike,999,286,34,63
33,3,motorbike,1034,286,33,60
33,4,motorbike,806,277,17,31
33,2,person,988,456,32,142
34,1,smallcar,464,363,73,79
34,2,smallcar,525,310,41,48
34,3,smallcar,949,273,82,53
34,4,smallcar,106,367,65,51
34,5,smallcar,727,270,75,41
34,6,smallcar,520,293,33,35
34,1,motorbike,831,310,53,75
34,2,motorbike,998,286,35,63
34,3,motorbike,1034,286,33,60
35,1,smallcar,466,363,70,76
35,2,smallcar,524,308,42,50
35,3,smallcar,949,273,82,53
35,4,smallcar,106,367,65,51
35,5,smallcar,727,270,75,41
35,6,smallcar,520,293,33,35
35,1,motorbike,831,310,53,75
35,2,motorbike,998,286,35,63
35,3,motorbike,1034,285,33,60
35,7,motorbike,76,401,27,53
36,1,smallcar,468,361,68,75
36,2,smallcar,523,305,44,52
36,3,smallcar,949,273,82,52
36,4,smallcar,106,367,66,51
36,5,smallcar,727,270,75,41
36,1,motorbike,831,310,53,75
36,2,motorbike,998,286,35,63
36,3,motorbike,1034,285,33,60
36,4,motorbike,806,277,17,31
36,7,motorbike,74,401,26,53
37,1,smallcar,469,359,67,74
37,2,smallcar,524,304,43,52
37,3,smallcar,950,273,80,52
37,4,smallcar,106,367,66,52
37,5,smallcar,727,270,75,41
37,1,motorbike,831,310,53,75
37,2,motorbike,998,286,35,63
37,3,motorbike,1034,285,33,60
37,4,motorbike,806,277,18,31
37,7,motorbike,71,402,27,56
38,1,smallcar,472,358,64,70
38,2,smallcar,522,302,46,55
38,3,smallcar,949,273,82,53
38,4,smallcar,106,367,66,51
38,5,smallcar,727,270,75,41
38,1,motorbike,831,310,53,76
38,2,motorbike,998,286,35,63
38,3,motorbike,1034,285,33,60
38,4,motorbike,806,277,18,31
38,7,motorbike,69,403,27,56
39,1,smallcar,474,356,62,69
39,2,smallcar,524,304,43,53
39,3,smallcar,949,273,82,53
39,4,smallcar,107,367,66,51
39,5,smallcar,727,270,76,41
39,1,motorbike,831,310,53,76
39,2,motorbike,998,286,35,63
39,3,motorbike,1034,285,33,60
39,7,motorbike,66,402,26,58
40,1,smallcar,475,355,61,67
40,2,smallcar,521,299,46,57
40,3,smallcar,949,273,82,53
40,4,smallcar,107,367,66,51
40,5,smallcar,728,270,75,41
40,1,motorbike,831,310,53,76
40,2,motorbike,998,286,35,63
40,3,motorbike,1034,285,33,60
40,7,motorbike,63,401,27,60
41,1,smallcar,476,353,60,66
41,2,smallcar,521,299,45,56
41,3,smallcar,949,273,82,53
41,4,smallcar,107,367,65,51
41,5,smallcar,728,270,75,41
41,1,motorbike,831,310,53,75
41,2,motorbike,998,286,35,63
41,3,motorbike,1034,285,33,60
41,7,motorbike,61,401,27,61
42,1,smallcar,478,353,59,64
42,2,smallcar,524,303,42,52
42,3,smallcar,949,273,82,53
42,4,smallcar,107,367,65,51
42,5,smallcar,728,270,75,41
42,1,motorbike,831,310,53,76
42,2,motorbike,997,285,36,65
42,3,motorbike,1034,285,33,60
42,7,motorbike,58,402,28,64
43,1,smallcar,480,352,57,63
43,2,smallcar,525,304,41,51
43,3,smallcar,949,273,82,53
43,4,smallcar,107,367,66,51
43,5,smallcar,727,270,76,41
43,1,motorbike,831,310,53,76
43,2,motorbike,998,286,35,64
43,3,motorbike,1034,285,33,60
43,7,motorbike,56,405,26,62
44,1,smallcar,481,350,57,63
44,2,smallcar,527,305,38,47
44,3,smallcar,949,273,82,53
44,4,smallcar,107,367,66,51
44,5,smallcar,727,270,76,41
44,1,motorbike,831,310,53,76
44,2,motorbike,998,286,35,64
44,3,motorbike,1034,285,33,60
44,7,motorbike,54,406,26,62
45,1,smallcar,482,349,56,61
45,2,smallcar,525,301,41,51
45,3,smallcar,949,273,82,53
45,4,smallcar,107,367,66,51
45,5,smallcar,727,270,76,41
45,1,motorbike,831,310,54,76
45,2,motorbike,998,286,35,63
45,3,motorbike,1034,285,33,60
45,4,person,986,457,37,151
46,1,smallcar,481,346,59,65
46,2,smallcar,524,299,42,53
46,3,smallcar,949,273,82,53
46,4,smallcar,107,367,66,51
46,5,smallcar,727,270,76,41
46,1,motorbike,832,310,52,75
46,2,motorbike,998,286,35,63
46,3,motorbike,1034,285,33,60
46,4,person,985,457,38,153
47,1,smallcar,482,344,59,65
47,2,smallcar,523,296,44,56
47,3,smallcar,949,273,82,53
47,4,smallcar,107,367,66,51
47,5,smallcar,727,270,76,41
47,11,smallcar,240,589,260,130
47,1,motorbike,832,310,52,75
47,2,motorbike,998,286,35,63
47,3,motorbike,1034,285,33,60
47,4,person,985,457,38,154
48,1,smallcar,483,343,59,68
48,2,smallcar,524,296,43,55
48,3,smallcar,949,273,82,54
48,4,smallcar,107,367,66,51
48,5,smallcar,727,270,76,41
48,11,smallcar,236,577,281,142
48,1,motorbike,832,310,52,75
48,2,motorbike,998,286,35,63
48,3,motorbike,1034,285,33,60
48,14,motorbike,806,277,18,31
49,1,smallcar,485,341,57,63
49,2,smallcar,523,295,43,55
49,3,smallcar,949,273,82,54
49,4,smallcar,106,367,67,51
49,5,smallcar,727,270,76,41
49,11,smallcar,227,563,305,156
49,1,motorbike,831,310,54,75
49,2,motorbike,998,286,35,63
49,3,motorbike,1034,285,33,60
49,14,motorbike,806,277,18,31
50,1,smallcar,486,341,56,63
50,2,smallcar,522,293,44,57
50,3,smallcar,949,273,82,54
50,4,smallcar,107,367,66,51
50,5,smallcar,727,270,76,41
50,11,smallcar,226,558,309,161
50,1,motorbike,831,310,54,76
50,2,motorbike,998,286,35,63
50,3,motorbike,1034,285,33,60
50,14,motorbike,806,277,18,31
51,1,smallcar,487,340,54,61
51,2,smallcar,521,291,45,59
51,3,smallcar,949,273,82,53
51,4,smallcar,107,367,66,51
51,5,smallcar,727,270,76,41
51,11,smallcar,220,549,327,170
51,1,motorbike,831,310,54,76
51,2,motorbike,998,286,35,63
51,3,motorbike,1034,285,33,60
51,14,motorbike,806,277,18,31
51,4,person,983,456,41,163
52,1,smallcar,486,336,57,65
