frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
180,5,smallcar,671,316,106,74
180,26,motorbike,513,394,92,118
180,27,motorbike,122,383,36,55
181,5,smallcar,666,318,104,72
181,26,motorbike,524,393,92,118
181,27,motorbike,117,383,35,54
182,5,smallcar,661,319,102,72
182,26,motorbike,537,405,81,103
182,27,motorbike,111,382,36,55
183,5,smallcar,654,321,102,70
183,26,motorbike,550,407,80,101
183,27,motorbike,106,381,36,55
184,5,smallcar,648,320,102,71
184,26,motorbike,561,408,79,99
184,27,motorbike,101,380,35,56
185,5,smallcar,642,321,103,71
185,26,motorbike,571,409,78,97
185,31,motorbike,201,350,33,78
186,5,smallcar,634,321,105,73
186,26,motorbike,583,410,77,94
186,31,motorbike,198,351,32,78
187,5,smallcar,626,322,105,72
187,26,motorbike,594,409,76,91
187,31,motorbike,195,351,33,79
188,5,smallcar,619,323,104,72
188,26,motorbike,606,409,75,88
188,31,motorbike,192,352,34,79
189,5,smallcar,614,326,101,69
189,26,motorbike,616,407,77,91
190,5,smallcar,607,327,101,69
190,26,motorbike,629,407,77,89
191,5,smallcar,594,329,102,69
191,26,motorbike,646,404,78,89
192,5,smallcar,586,331,102,68
192,26,motorbike,660,403,79,89
192,31,motorbike,203,348,31,74
193,5,smallcar,578,332,102,68
193,26,motorbike,671,401,80,90
193,31,motorbike,203,348,31,74
194,5,smallcar,568,332,106,71
194,26,motorbike,682,400,81,90
194,31,motorbike,204,347,29,75
195,5,smallcar,561,333,106,71
195,26,motorbike,692,399,81,90
195,31,motorbike,203,348,29,73
196,5,smallcar,552,334,108,71
196,26,motorbike,703,398,80,89
196,31,motorbike,205,349,27,73
197,5,smallcar,546,335,107,71
197,26,motorbike,715,395,80,89
197,31,motorbike,204,349,27,74
197,33,motorbike,33,397,32,49
198,5,smallcar,538,336,108,71
198,26,motorbike,727,394,79,88
198,31,motorbike,204,349,26,74
198,33,motorbike,31,398,32,49
199,5,smallcar,531,337,108,71
199,26,motorbike,738,393,81,89
200,5,smallcar,523,336,110,73
200,26,motorbike,750,392,80,89
201,5,smallcar,513,336,114,75
201,14,smallcar,692,294,96,45
201,36,motorbike,188,354,44,81
202,5,smallcar,508,338,109,73
202,14,smallcar,689,292,99,47
202,31,motorbike,207,354,24,65
202,33,motorbike,7,399,36,56
202,36,motorbike,186,355,43,79
203,5,smallcar,500,341,108,71
203,14,smallcar,684,291,102,49
203,31,motorbike,208,353,25,68
203,33,motorbike,2,399,37,58
204,5,smallcar,493,343,105,70
204,14,smallcar,680,291,105,50
204,26,motorbike,785,382,88,100
204,31,motorbike,208,353,25,67
205,5,smallcar,485,344,106,70
205,14,smallcar,677,291,105,51
205,26,motorbike,796,380,89,102
205,31,motorbike,208,353,25,67
206,5,smallcar,475,343,109,72
206,14,smallcar,674,291,105,51
207,5,smallcar,464,342,114,76
207,14,smallcar,671,291,105,51
208,5,smallcar,455,344,113,76
208,14,smallcar,669,291,104,51
208,26,motorbike,830,377,83,94
208,37,motorbike,85,387,26,49
209,5,smallcar,447,345,114,77
209,14,smallcar,668,291,103,51
209,26,motorbike,841,375,83,95
209,37,motorbike,80,391,25,46
210,5,smallcar,437,347,114,77
210,14,smallcar,664,291,104,52
210,37,motorbike,77,393,24,44
211,5,smallcar,429,349,113,76
211,14,smallcar,661,291,106,53
211,26,motorbike,861,375,78,90
211,37,motorbike,72,392,25,45
212,5,smallcar,421,349,113,77
212,14,smallcar,659,291,106,53
212,15,smallcar,738,300,114,59
212,26,motorbike,871,373,78,91
212,37,motorbike,69,396,23,42
213,5,smallcar,415,351,109,74
213,14,smallcar,658,292,104,52
213,15,smallcar,731,300,114,60
213,26,motorbike,884,374,75,88
213,37,motorbike,65,396,23,42
214,5,smallcar,407,352,109,74
214,14,smallcar,655,291,104,53
214,15,smallcar,723,300,115,61
214,26,motorbike,893,372,76,90
214,37,motorbike,61,397,23,41
215,5,smallcar,399,354,107,72
215,14,smallcar,652,291,106,54
215,15,smallcar,719,301,116,61
215,26,motorbike,902,371,76,91
216,5,smallcar,391,355,104,71
216,14,smallcar,651,292,103,52
216,15,smallcar,715,301,116,63
216,26,motorbike,913,369,76,92
217,5,smallcar,383,357,104,69
217,14,smallcar,650,293,100,51
217,15,smallcar,710,301,119,63
217,16,smallcar,3,421,38,77
217,26,motorbike,925,366,76,94
218,5,smallcar,375,358,104,70
218,14,smallcar,648,293,100,52
218,15,smallcar,706,300,118,64
218,16,smallcar,7,425,36,73
218,26,motorbike,933,363,78,96
219,5,smallcar,365,359,106,71
219,14,smallcar,644,293,102,53
219,15,smallcar,702,301,118,64
219,16,smallcar,9,426,37,72
219,26,motorbike,943,364,75,94
220,5,smallcar,355,361,104,70
220,14,smallcar,641,293,102,53
220,15,smallcar,697,301,119,64
220,16,smallcar,12,427,37,69
220,17,smallcar,996,279,73,48
220,26,motorbike,953,365,73,92
221,5,smallcar,347,363,103,69
221,14,smallcar,638,293,103,53
221,16,smallcar,15,429,36,66
221,17,smallcar,996,280,73,47
221,26,motorbike,963,365,71,90
222,5,smallcar,336,363,107,72
222,15,smallcar,688,306,116,62
222,26,motorbike,973,364,70,89
223,5,smallcar,327,364,108,73
223,15,smallcar,684,308,113,61
223,26,motorbike,982,362,69,89
224,5,smallcar,317,364,113,77
224,15,smallcar,679,309,112,60
224,26,motorbike,992,361,69,89
225,5,smallcar,308,365,116,80
225,15,smallcar,672,309,115,61
226,5,smallcar,298,365,115,80
226,15,smallcar,664,309,119,63
227,5,smallcar,293,367,110,76
227,15,smallcar,657,309,119,64
227,26,motorbike,1019,354,69,92
228,5,smallcar,287,368,108,75
228,15,smallcar,650,309,122,65
228,19,smallcar,11,419,87,72
228,26,motorbike,1029,353,69,92
229,5,smallcar,279,369,105,73
229,15,smallcar,645,309,122,66
229,19,smallcar,14,420,88,72
229,26,motorbike,1034,356,63,87
230,5,smallcar,268,365,110,77
230,15,smallcar,640,311,119,63
230,19,smallcar,20,420,89,72
230,26,motorbike,1043,355,63,86
231,5,smallcar,258,361,115,82
231,15,smallcar,635,311,119,64
231,19,smallcar,25,419,89,71
232,5,smallcar,249,359,119,86
232,15,smallcar,622,308,128,68
232,19,smallcar,29,418,91,72
232,20,smallcar,1050,270,35,34
233,5,smallcar,238,357,122,90
233,15,smallcar,614,305,134,72
233,19,smallcar,35,417,93,72
233,20,smallcar,1050,270,35,34
234,5,smallcar,236,366,111,81
234,15,smallcar,605,300,142,78
234,19,smallcar,40,415,96,74
234,20,smallcar,1049,270,36,34
235,5,smallcar,228,370,108,79
235,15,smallcar,597,296,146,83
235,19,smallcar,46,414,98,74
236,5,smallcar,220,369,110,81
236,15,smallcar,591,294,148,86
236,19,smallcar,52,412,102,76
237,5,smallcar,211,373,107,79
237,15,smallcar,587,294,148,87
237,19,smallcar,56,411,104,77
238,5,smallcar,199,367,116,87
238,15,smallcar,575,283,162,98
238,19,smallcar,61,408,109,80
239,5,smallcar,190,366,119,90
239,15,smallcar,575,289,150,93
239,19,smallcar,63,405,115,83
240,5,smallcar,186,372,113,85
240,15,smallcar,570,292,145,91
240,19,smallcar,67,401,120,88
241,5,smallcar,182,375,106,80
241,15,smallcar,565,294,142,90
241,19,smallcar,73,402,118,86
242,5,smallcar,174,376,106,80
242,15,smallcar,563,297,137,88
242,19,smallcar,77,400,123,89
243,5,smallcar,176,383,94,69
243,15,smallcar,557,296,138,90
243,19,smallcar,87,402,119,85
244,5,smallcar,176,386,85,64
244,19,smallcar,93,401,118,84
245,5,smallcar,170,388,83,62
245,19,smallcar,96,395,124,89
246,15,smallcar,550,320,109,69
246,19,smallcar,104,394,122,86
246,47,motorbike,253,357,37,49
247,15,smallcar,543,320,111,70
247,19,smallcar,110,393,122,87
247,47,motorbike,252,357,36,49
248,15,smallcar,536,324,109,68
248,19,smallcar,116,391,123,88
248,21,smallcar,593,297,81,48
248,47,motorbike,250,356,38,50
249,15,smallcar,530,327,107,66
249,19,smallcar,124,392,122,86
249,21,smallcar,590,297,81,48
249,47,motorbike,248,355,39,52
250,15,smallcar,525,329,107,64
250,19,smallcar,129,394,120,84
250,21,smallcar,589,299,76,45
251,15,smallcar,517,329,111,66
251,19,smallcar,128,395,120,82
251,21,smallcar,586,298,80,47
251,22,smallcar,4,447,40,94
252,15,smallcar,510,330,112,66
252,19,smallcar,124,395,126,83
252,21,smallcar,585,299,77,45
252,22,smallcar,7,451,38,90
253,15,smallcar,501,331,114,66
253,19,smallcar,149,398,121,78
253,21,smallcar,582,299,78,44
253,22,smallcar,10,454,38,86
254,15,smallcar,493,329,117,69
254,19,smallcar,164,399,118,75
254,21,smallcar,582,300,76,43
254,22,smallcar,11,453,40,88
255,15,smallcar,487,330,116,69
255,19,smallcar,173,398,120,76
255,21,smallcar,580,298,79,45
255,22,smallcar,13,450,42,90
255,23,smallcar,80,398,100,69
256,15,smallcar,479,331,119,69
256,19,smallcar,178,396,124,78
256,21,smallcar,578,298,81,45
256,22,smallcar,15,449,44,89
256,23,smallcar,70,399,97,68
257,15,smallcar,471,333,117,68
257,19,smallcar,186,394,125,78
257,21,smallcar,578,298,80,44
257,22,smallcar,17,449,46,87
257,23,smallcar,63,400,95,67
258,15,smallcar,464,336,115,66
258,19,smallcar,193,390,129,81
258,21,smallcar,578,298,79,43
258,22,smallcar,18,448,49,88
258,23,smallcar,58,400,94,67
258,50,motorbike,36,399,33,47
259,15,smallcar,456,335,119,68
259,19,smallcar,199,387,134,84
259,21,smallcar,576,298,79,44
259,22,smallcar,19,448,52,88
259,23,smallcar,53,402,93,66
259,50,motorbike,29,400,33,47
260,15,smallcar,443,332,123,72
260,19,smallcar,210,383,138,87
260,21,smallcar,572,298,80,44
260,22,smallcar,22,451,54,84
260,23,smallcar,42,404,91,64
260,50,motorbike,25,401,33,47
261,15,smallcar,437,335,119,69
261,19,smallcar,218,382,139,87
261,21,smallcar,570,298,80,44
261,22,smallcar,23,451,59,83
261,23,smallcar,30,404,94,67
262,15,smallcar,428,334,123,71
262,19,smallcar,221,373,150,96
262,21,smallcar,568,298,80,44
262,22,smallcar,25,451,63,84
262,23,smallcar,20,404,96,69
263,15,smallcar,420,333,125,72
263,19,smallcar,230,372,148,94
263,21,smallcar,567,297,80,44
263,22,smallcar,25,451,69,85
263,23,smallcar,7,404,103,74
264,15,smallcar,412,332,126,74
264,19,smallcar,238,370,149,95
264,21,smallcar,563,294,85,47
264,22,smallcar,26,451,73,85
264,23,smallcar,2,404,103,75
264,25,smallcar,194,439,75,99
265,15,smallcar,408,335,121,71
265,21,smallcar,561,293,86,48
265,22,smallcar,26,450,79,87
265,23,smallcar,0,407,99,73
265,25,smallcar,198,436,77,102
266,15,smallcar,403,340,114,67
266,21,smallcar,562,295,82,46
266,22,smallcar,27,450,85,87
266,23,smallcar,0,409,93,72
266,25,smallcar,218,446,68,89
267,15,smallcar,398,345,108,62
267,19,smallcar,274,382,131,83
267,21,smallcar,560,294,83,48
267,22,smallcar,30,449,90,88
267,23,smallcar,0,411,86,68
267,25,smallcar,226,447,67,87
268,15,smallcar,392,346,106,62
268,19,smallcar,282,382,131,82
268,21,smallcar,559,294,83,48
268,22,smallcar,33,449,95,88
268,23,smallcar,0,412,79,65
269,19,smallcar,295,379,126,78
269,21,smallcar,556,292,86,51
269,22,smallcar,37,447,99,89
269,23,smallcar,0,414,73,61
270,19,smallcar,300,377,130,81
270,21,smallcar,556,293,83,49
270,22,smallcar,40,445,104,91
270,23,smallcar,0,415,68,60
270,25,smallcar,263,454,61,78
271,19,smallcar,298,358,158,100
271,21,smallcar,557,294,79,48
271,22,smallcar,44,444,109,92
271,23,smallcar,0,414,64,59
271,25,smallcar,272,455,60,76
271,55,motorbike,196,352,38,73
272,19,smallcar,307,348,171,109
272,21,smallcar,557,295,77,46
272,22,smallcar,49,444,114,94
272,23,smallcar,0,414,59,58
272,25,smallcar,283,450,65,80
272,55,motorbike,196,351,37,74
273,19,smallcar,311,340,178,116
273,21,smallcar,554,292,82,51
273,22,smallcar,54,444,117,95
273,23,smallcar,0,415,54,57
273,25,smallcar,293,450,64,80
273,55,motorbike,195,352,37,72
274,19,smallcar,320,341,173,114
274,21,smallcar,555,294,79,49
274,22,smallcar,58,442,121,97
274,23,smallcar,0,412,51,60
274,55,motorbike,195,353,36,70
275,19,smallcar,328,344,166,111
275,21,smallcar,555,293,78,49
275,22,smallcar,63,441,123,96
275,23,smallcar,0,413,46,59
275,55,motorbike,193,352,38,71
276,19,smallcar,338,346,158,107
276,21,smallcar,554,293,78,49
276,22,smallcar,67,440,126,97
276,27,smallcar,769,297,112,59
276,55,motorbike,194,352,37,70
277,19,smallcar,345,343,161,109
277,21,smallcar,555,294,73,47
277,22,smallcar,72,439,129,97
277,27,smallcar,762,296,113,61
277,55,motorbike,194,352,37,69
278,19,smallcar,367,352,145,98
278,21,smallcar,556,295,70,45
278,22,smallcar,77,438,132,98
278,27,smallcar,755,295,116,62
278,55,motorbike,193,352,37,68
279,19,smallcar,387,360,129,87
279,21,smallcar,556,296,69,44
279,22,smallcar,85,437,132,97
279,27,smallcar,752,295,116,62
279,55,motorbike,192,353,37,67
280,19,smallcar,399,364,123,82
280,21,smallcar,555,296,70,45
280,22,smallcar,89,435,137,100
280,27,smallcar,749,297,113,60
280,55,motorbike,191,353,38,68
281,19,smallcar,410,364,122,80
281,21,smallcar,555,295,69,45
281,22,smallcar,96,435,138,100
