frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
4,1,smallcar,729,270,76,40
4,2,smallcar,849,358,148,122
4,1,motorbike,1030,289,47,55
5,1,smallcar,729,270,77,40
5,2,smallcar,853,350,155,128
5,1,motorbike,1029,289,47,55
6,1,smallcar,728,270,76,40
6,2,smallcar,855,346,159,132
6,1,motorbike,1029,289,47,55
7,1,smallcar,727,270,77,40
7,2,smallcar,867,347,152,127
8,1,smallcar,727,270,77,40
8,2,smallcar,870,346,152,126
8,1,motorbike,1022,288,47,55
8,3,motorbike,806,276,17,32
9,1,smallcar,727,269,78,41
9,2,smallcar,875,345,151,125
9,1,motorbike,1022,288,47,55
9,3,motorbike,806,276,17,32
10,1,smallcar,727,270,77,40
10,2,smallcar,881,343,148,124
10,1,motorbike,1021,288,47,55
10,3,motorbike,806,276,17,32
11,1,smallcar,727,270,77,40
11,2,smallcar,886,342,149,125
11,1,motorbike,1021,289,46,55
11,3,motorbike,806,276,17,32
12,1,smallcar,727,270,77,40
12,2,smallcar,892,341,148,124
12,1,motorbike,1019,289,47,55
12,3,motorbike,806,276,17,32
13,1,smallcar,727,270,77,40
13,2,smallcar,897,341,147,123
13,1,motorbike,1019,289,47,56
13,3,motorbike,806,276,17,32
14,1,smallcar,727,270,77,40
14,2,smallcar,903,339,147,123
14,1,motorbike,1018,290,46,55
14,3,motorbike,806,276,17,32
15,1,smallcar,727,270,77,40
15,2,smallcar,907,339,147,123
15,1,motorbike,1016,290,45,55
15,3,motorbike,806,276,17,32
16,1,smallcar,727,270,77,40
16,2,smallcar,913,338,147,123
16,1,motorbike,1014,289,45,56
16,3,motorbike,806,276,17,32
17,1,smallcar,727,270,77,40
17,2,smallcar,919,338,146,123
17,1,motorbike,1013,289,44,55
17,3,motorbike,806,276,17,32
18,1,smallcar,727,269,79,41
18,2,smallcar,926,337,144,122
18,1,motorbike,1012,289,43,55
18,3,motorbike,806,276,17,32
19,1,smallcar,727,269,80,41
19,2,smallcar,931,337,141,119
19,1,motorbike,1011,289,43,56
20,1,smallcar,727,269,80,41
20,2,smallcar,936,337,140,117
20,1,motorbike,1010,290,42,55
21,1,smallcar,726,269,82,41
21,2,smallcar,942,337,138,115
21,1,motorbike,1010,291,41,53
21,3,motorbike,806,276,17,32
22,1,smallcar,726,269,82,41
22,2,smallcar,947,336,136,114
22,1,motorbike,1010,291,39,53
22,3,motorbike,806,276,17,32
23,1,smallcar,726,269,82,41
23,2,smallcar,952,333,137,115
23,1,motorbike,1008,290,41,55
24,1,smallcar,726,269,83,41
24,2,smallcar,957,328,139,117
24,1,motorbike,1007,291,41,55
25,1,smallcar,725,269,84,41
25,2,smallcar,962,328,137,115
25,1,motorbike,1006,291,40,55
26,1,smallcar,725,269,84,41
26,2,smallcar,965,328,134,114
26,1,motorbike,1005,291,40,55
27,1,smallcar,725,269,84,41
27,2,smallcar,967,324,134,116
27,1,motorbike,1004,291,40,55
28,1,smallcar,726,270,83,40
28,2,smallcar,972,325,128,112
28,1,motorbike,1003,292,39,54
29,1,smallcar,725,269,84,41
29,2,smallcar,977,324,127,111
29,1,motorbike,1001,292,39,54
30,1,smallcar,725,269,84,41
30,1,motorbike,1000,292,38,54
31,1,smallcar,725,270,83,40
31,2,smallcar,995,336,107,95
31,1,motorbike,997,292,39,55
32,1,smallcar,725,270,83,40
32,2,smallcar,1001,341,99,89
32,1,motorbike,993,291,39,55
33,1,smallcar,724,269,85,41
33,2,smallcar,1007,345,91,82
33,1,motorbike,992,292,40,56
34,1,smallcar,724,269,86,41
34,2,smallcar,1010,345,88,82
34,1,motorbike,991,292,39,56
35,1,smallcar,724,269,85,41
35,2,smallcar,1014,346,86,79
35,1,motorbike,989,291,40,57
36,1,smallcar,724,269,85,41
36,1,motorbike,988,291,40,57
37,1,smallcar,724,269,85,41
37,1,motorbike,987,291,40,57
38,1,smallcar,725,271,82,39
38,1,motorbike,984,289,41,60
38,5,motorbike,1052,291,33,56
39,1,smallcar,725,271,81,39
39,1,motorbike,979,285,43,63
39,5,motorbike,1052,291,33,56
40,1,smallcar,726,271,80,39
40,1,motorbike,975,281,46,69
40,5,motorbike,1051,291,32,56
40,6,motorbike,806,276,17,32
41,1,smallcar,726,271,79,39
41,1,motorbike,973,280,47,70
41,5,motorbike,1050,290,33,56
41,6,motorbike,806,276,17,32
42,1,smallcar,726,271,79,39
42,1,motorbike,971,278,49,73
42,5,motorbike,1049,289,33,57
42,6,motorbike,805,276,18,32
43,1,smallcar,726,271,79,39
43,1,motorbike,970,277,48,75
43,5,motorbike,1049,289,33,58
43,6,motorbike,805,276,17,32
44,1,smallcar,726,271,78,39
44,1,motorbike,969,280,46,72
44,5,motorbike,1049,291,32,55
45,1,smallcar,726,271,78,39
45,1,motorbike,967,279,47,73
45,5,motorbike,1047,291,33,55
45,1,bigcar,328,310,69,66
46,1,smallcar,726,271,78,39
46,1,motorbike,966,280,46,73
46,5,motorbike,1046,292,32,53
46,1,bigcar,328,310,69,66
47,1,smallcar,726,271,78,39
47,1,motorbike,964,281,45,72
47,5,motorbike,1045,293,30,52
47,1,bigcar,328,310,69,66
48,1,smallcar,726,271,78,39
48,1,motorbike,963,285,43,67
48,5,motorbike,1044,294,30,51
48,1,bigcar,328,310,70,66
49,1,smallcar,726,271,77,39
49,1,motorbike,961,289,42,64
49,5,motorbike,1042,294,30,51
49,1,bigcar,328,310,70,67
50,1,smallcar,727,271,76,39
50,1,motorbike,958,290,41,63
50,5,motorbike,1041,295,30,51
50,1,bigcar,328,310,70,67
51,1,smallcar,727,271,76,39
51,1,motorbike,955,290,41,63
51,5,motorbike,1040,295,30,51
51,1,bigcar,327,310,71,67
52,1,smallcar,727,271,76,39
52,1,motorbike,953,291,40,62
52,5,motorbike,1039,294,31,53
52,1,bigcar,327,310,71,67
53,1,smallcar,727,271,77,39
53,1,motorbike,950,292,41,61
53,5,motorbike,1038,295,30,51
53,1,bigcar,328,310,69,66
54,1,smallcar,727,271,76,39
54,1,motorbike,946,291,42,62
54,5,motorbike,1037,295,30,52
54,1,bigcar,328,310,69,66
55,1,smallcar,727,271,76,39
55,1,motorbike,945,294,39,58
55,5,motorbike,1035,295,30,52
55,7,motorbike,981,272,25,58
55,1,bigcar,328,310,69,67
56,1,smallcar,727,271,76,39
56,1,motorbike,942,295,40,58
56,5,motorbike,1033,295,30,51
56,7,motorbike,981,271,25,61
56,1,bigcar,327,310,71,67
57,1,smallcar,727,271,76,39
57,1,motorbike,940,296,40,57
57,5,motorbike,1029,294,31,53
57,7,motorbike,979,272,26,64
57,1,bigcar,327,310,71,67
58,1,smallcar,727,271,76,39
58,1,motorbike,937,295,41,59
58,5,motorbike,1027,294,32,54
58,7,motorbike,978,271,27,67
58,1,bigcar,327,310,71,67
59,1,smallcar,727,271,76,39
59,4,smallcar,1057,306,27,61
59,1,motorbike,933,294,42,61
59,5,motorbike,1026,295,31,52
59,7,motorbike,978,272,27,66
59,1,bigcar,327,310,71,67
61,1,smallcar,727,271,76,39
61,4,smallcar,1057,307,27,59
61,1,motorbike,929,295,42,60
61,5,motorbike,1023,294,31,53
61,7,motorbike,977,272,28,67
61,1,bigcar,327,310,71,67
62,1,smallcar,727,271,76,39
62,1,motorbike,926,295,42,60
62,5,motorbike,1019,293,32,54
62,1,bigcar,327,310,71,67
63,1,smallcar,727,271,76,39
63,1,motorbike,924,296,41,58
63,5,motorbike,1018,294,31,53
63,1,bigcar,327,310,71,67
64,1,smallcar,728,271,75,39
64,4,smallcar,1055,307,27,59
64,1,motorbike,921,297,41,58
64,5,motorbike,1016,294,31,52
64,1,bigcar,327,310,71,67
65,1,smallcar,727,271,76,39
65,4,smallcar,1054,305,29,62
65,5,motorbike,1015,294,31,52
65,1,bigcar,327,310,71,67
66,1,smallcar,727,271,76,39
66,4,smallcar,1053,304,30,63
66,5,motorbike,1014,294,31,53
66,1,bigcar,327,310,71,67
67,1,smallcar,727,271,76,39
67,4,smallcar,1053,304,30,63
67,5,motorbike,1012,295,33,54
67,1,bigcar,327,310,71,67
68,1,smallcar,727,271,76,39
68,4,smallcar,1052,305,31,62
68,5,motorbike,1009,294,34,56
68,1,bigcar,327,310,71,67
69,1,smallcar,727,271,76,39
69,4,smallcar,1051,303,32,65
69,5,motorbike,1007,295,34,55
69,1,bigcar,327,310,71,67
70,1,smallcar,727,271,76,39
70,4,smallcar,1050,302,33,66
