center_x,center_y,object_id
0,421,428
312,559,429
535,293,429
0,435,430
180,349,430
177,348,431
128,352,431
830,305,432
831,306,432
845,256,433
847,258,433
665,594,434
1054,340,434
104,366,435
60,376,435
848,268,436
849,270,436
832,303,437
831,303,437
810,296,438
812,297,438
848,270,439
847,263,439
523,308,440
320,576,440
0,417,441
45,382,441
573,272,442
574,272,442
574,251,443
574,250,443
574,272,444
574,271,444
576,287,445
484,582,445
60,379,446
69,377,446
6,415,447
0,422,447
0,397,448
25,400,448
263,553,449
541,265,449
0,433,450
0,426,450
533,259,451
532,260,451
812,297,452
811,296,452
167,348,453
0,448,453
574,269,454
574,269,454
951,278,455
952,278,455
656,567,456
903,285,456
458,588,457
571,273,457
479,597,458
579,290,458
154,336,459
0,434,459
812,296,460
812,296,460
952,276,461
952,269,461
528,302,462
529,302,462
281,555,463
540,261,463
904,294,464
0,415,464
537,270,465
538,266,465
999,282,466
998,282,466
569,270,467
568,268,467
847,265,468
847,266,468
539,265,469
538,258,469
937,275,470
951,277,470
192,356,471
0,434,471
996,277,472
996,278,472
571,272,473
576,278,473
195,350,474
0,428,474
952,280,475
955,277,475
569,269,476
567,266,476
574,249,477
574,250,477
847,269,478
850,263,478
534,254,479
532,253,479
190,352,480
0,432,480
540,280,481
286,556,481
44,385,482
168,350,482
1055,340,483
651,572,483
574,249,484
574,250,484
0,448,485
190,360,485
541,262,486
304,540,486
177,347,487
0,423,487
559,275,488
398,612,488
811,295,489
811,299,489
252,568,490
251,544,490
783,282,491
783,284,491
419,385,492
447,365,492
846,271,493
846,272,493
844,276,494
844,277,494
964,262,495
964,262,495
896,276,496
890,273,496
498,322,497
537,260,497
845,278,498
846,276,498
194,345,499
183,349,499
876,276,500
837,273,500
962,263,501
962,261,501
562,276,502
560,273,502
574,250,503
574,249,503
943,285,504
0,406,504
691,308,505
806,294,505
538,260,506
538,255,506
844,264,507
835,289,507
966,262,508
964,263,508
813,295,509
830,292,509
301,557,510
509,330,510
239,564,511
532,255,511
183,353,512
192,354,512
0,444,513
161,361,513
854,268,514
850,268,514
901,288,515
902,288,515
0,407,516
893,287,516
527,257,517
536,262,517
574,251,518
573,250,518
1053,328,519
4,446,519
965,263,520
734,285,520
1056,272,521
1055,272,521
1041,272,522
1006,269,522
991,293,523
992,294,523
967,303,524
968,300,524
573,250,525
573,251,525
562,275,526
561,275,526
979,279,527
977,280,527
874,290,528
954,280,528
860,283,529
783,298,529
912,285,530
864,295,530
135,390,531
224,380,531
766,287,532
948,272,532
8,470,533
1061,356,533
661,282,534
683,278,534
552,276,535
723,289,535
1027,276,536
1005,278,536
835,296,537
0,409,537
986,279,538
987,285,538
0,415,539
932,287,539
622,315,540
503,331,540
1056,274,541
1055,274,541
769,293,542
635,310,542
573,251,543
573,251,543
1038,267,544
882,278,544
573,251,545
573,251,545
184,348,546
184,348,546
548,281,547
704,291,547
599,289,548
642,296,548
183,380,549
0,408,549
0,416,550
997,280,550
886,280,551
1035,271,551
574,251,552
574,251,552
562,275,553
561,275,553
847,279,554
48,388,554
725,302,555
401,341,555
2,440,556
998,349,556
450,334,557
454,335,557
71,451,558
7,456,558
936,293,559
0,395,559
1061,352,560
7,472,560
587,299,561
590,298,561
841,281,562
805,282,562
183,348,563
185,348,563
902,247,564
923,246,564
565,301,565
793,283,565
0,403,566
530,325,566
1056,276,567
0,412,567
2,450,568
735,376,568
814,281,569
997,271,569
279,360,570
0,401,570
1024,274,571
0,397,571
215,448,572
1055,350,572
558,300,573
541,293,573
580,295,574
572,292,574
540,261,575
539,261,575
4,452,576
1051,350,576
534,266,577
783,288,577
572,288,578
572,275,578
544,282,579
545,282,579
6,467,580
1046,347,580
940,275,581
702,292,581
1058,357,582
389,421,582
0,398,583
208,372,583
533,258,584
528,264,584
574,250,585
574,250,585
6,473,586
1057,361,586
0,414,587
1001,278,587
1055,333,588
878,362,588
540,275,589
542,263,589
185,347,590
184,348,590
970,295,591
969,297,591
970,298,592
967,300,592
0,398,593
1022,275,593
185,348,594
183,348,594
574,250,595
574,250,595
964,300,596
966,304,596
574,250,597
574,249,597
653,298,598
613,285,598
969,286,599
969,285,599
610,286,600
609,285,600
994,284,601
993,289,601
573,249,602
574,250,602
992,279,603
1024,279,603
0,398,604
944,282,604
0,404,605
1025,278,605
100,475,606
33,482,606
1004,337,607
4,436,607
962,301,608
966,304,608
1028,279,609
997,287,609
949,289,610
0,419,610
995,286,611
996,287,611
7,431,612
1027,294,612
1025,279,613
987,281,613
181,350,614
182,350,614
944,286,615
0,401,615
1026,291,616
8,442,616
1025,277,617
1017,279,617
180,465,618
160,465,618
579,327,619
921,286,619
242,457,620
681,414,620
1022,279,621
963,304,621
508,337,622
0,413,622
1022,422,623
981,496,623
1022,288,624
7,444,624
941,284,625
465,338,625
0,415,626
0,415,626
573,250,627
574,251,627
7,438,628
1024,293,628
181,350,629
181,350,629
25,397,630
8,399,630
184,350,631
184,352,631
422,327,632
376,354,632
1016,276,633
0,401,633
544,260,634
947,279,634
185,352,635
183,350,635
574,250,636
573,250,636
1016,277,637
979,279,637
574,251,638
573,251,638
0,396,639
955,286,639
1051,276,640
1057,275,640
1037,268,641
970,263,641
574,252,642
574,251,642
196,356,643
0,455,643
961,583,644
964,561,644
1060,270,645
0,393,645
987,272,646
1019,278,646
971,294,647
969,290,647
953,284,648
0,392,648
183,348,649
183,348,649
403,424,650
540,276,650
140,364,651
0,422,651
184,351,652
184,350,652
183,346,653
183,346,653
541,257,654
541,257,654
969,299,655
970,300,655
560,273,656
493,547,656
178,348,657
183,350,657
0,458,658
188,356,658
1059,352,659
22,459,659
171,599,660
184,621,660
994,274,661
1005,273,661
537,288,662
462,571,662
181,350,663
180,349,663
157,350,664
0,435,664
926,282,665
241,367,665
402,390,666
531,277,666
178,353,667
0,440,667
995,285,668
996,284,668
548,586,669
529,527,669
994,285,670
994,285,670
507,314,671
208,564,671
930,339,672
583,485,672
0,398,673
933,284,673
542,269,674
540,261,674
994,287,675
994,284,675
572,251,676
574,251,676
927,276,677
898,271,677
0,442,678
193,349,678
815,275,679
874,279,679
362,542,680
542,268,680
221,372,681
216,372,681
791,272,682
789,271,682
283,551,683
540,264,683
773,286,684
709,288,684
184,352,685
166,355,685
0,398,686
62,381,686
542,316,687
670,278,687
0,402,688
161,350,688
941,286,689
0,403,689
186,352,690
189,353,690
157,340,691
141,330,691
121,335,692
111,334,692
288,579,693
538,263,693
990,643,694
1058,377,694
1061,345,695
12,457,695
1009,263,696
1008,264,696
493,325,697
526,320,697
0,415,698
75,348,698
523,295,699
265,580,699
0,439,700
189,356,700
504,316,701
247,571,701
544,271,702
545,270,702
308,355,703
416,317,703
572,251,704
573,251,704
985,277,705
1022,278,705
511,295,706
538,264,706
1062,349,707
10,459,707
216,554,708
482,330,708
614,292,709
755,290,709
966,281,710
0,393,710
196,355,711
0,456,711
994,288,712
994,286,712
180,352,713
0,452,713
1021,278,714
989,274,714
1043,281,715
1040,276,715
609,290,716
607,289,716
500,320,717
540,266,717
958,281,718
0,400,718
192,353,719
0,419,719
247,575,720
534,287,720
189,361,721
243,361,721
1042,281,722
1042,280,722
166,354,723
166,354,723
536,259,724
534,261,724
591,293,725
585,268,725
574,251,726
574,251,726
181,348,727
180,350,727
0,441,728
193,354,728
534,258,729
533,258,729
310,574,730
547,273,730
175,362,731
184,361,731
185,359,732
0,461,732
143,367,733
164,357,733
533,254,734
347,545,734
996,286,735
996,286,735
174,350,736
0,432,736
8,456,737
1060,354,737
165,354,738
131,364,738
542,272,739
538,264,739
537,266,740
539,265,740
136,363,741
138,365,741
133,362,742
134,366,742
574,252,743
574,252,743
996,291,744
995,284,744
546,266,745
273,552,745
154,329,746
151,331,746
134,368,747
134,362,747
93,346,748
0,403,748
135,370,749
134,367,749
191,350,750
0,441,750
1015,274,751
0,400,751
574,251,752
573,251,752
15,452,753
1060,327,753
522,298,754
246,573,754
1040,279,755
1040,279,755
0,439,756
169,351,756
633,313,757
704,306,757
0,457,758
164,354,758
134,371,759
134,372,759
574,251,760
574,251,760
6,453,761
1047,338,761
487,571,762
571,308,762
82,390,763
15,397,763
255,550,764
529,282,764
1037,281,765
1036,280,765
134,372,766
134,370,766
609,291,767
937,274,767
181,349,768
0,437,768
23,463,769
1058,322,769
528,289,770
528,290,770
1063,266,771
1058,266,771
531,267,772
522,272,772
133,376,773
0,420,773
1004,269,774
1007,271,774
555,266,775
570,301,775
942,276,776
881,278,776
536,279,777
278,574,777
844,276,778
564,289,778
539,264,779
538,265,779
0,405,780
886,286,780
538,265,781
535,261,781
13,457,782
1057,340,782
0,456,783
184,361,783
0,432,784
916,289,784
536,261,785
534,267,785
0,459,786
188,359,786
605,285,787
594,294,787
185,351,788
185,351,788
297,568,789
545,269,789
1044,281,790
1044,280,790
584,292,791
585,292,791
176,350,792
0,432,792
130,359,793
0,399,793
1045,280,794
1044,280,794
545,288,795
548,289,795
575,280,796
575,281,796
538,264,797
537,274,797
543,271,798
332,562,798
544,281,799
544,284,799
179,349,800
183,352,800
1042,282,801
1043,282,801
560,273,802
535,614,802
574,271,803
572,270,803
163,357,804
135,361,804
57,385,805
196,345,805
1042,278,806
1045,282,806
0,422,807
77,384,807
523,298,808
264,563,808
0,411,809
161,358,809
189,358,810
0,455,810
162,358,811
176,353,811
572,278,812
469,620,812
0,407,813
0,404,813
54,383,814
91,380,814
185,353,815
0,449,815
0,428,816
161,350,816
567,271,817
387,544,817
115,384,818
0,432,818
530,288,819
530,284,819
540,262,820
534,271,820
0,453,821
187,358,821
140,360,822
121,374,822
50,398,823
1,409,823
535,270,824
533,271,824
4,426,825
0,420,825
536,262,826
541,267,826
93,380,827
0,397,827
1042,280,828
1042,279,828
171,344,829
0,388,829
563,611,830
615,327,830
574,253,831
573,253,831
576,317,832
501,604,832
570,275,833
569,275,833
1037,278,834
1038,279,834
538,280,835
315,563,835
1037,278,836
1038,278,836
570,256,837
569,256,837
589,275,838
585,270,838
588,598,839
589,301,839
317,546,840
528,312,840
509,549,841
551,278,841
973,290,842
972,281,842
1038,279,843
1038,279,843
587,563,844
584,334,844
1037,279,845
1035,278,845
574,253,846
574,253,846
546,589,847
591,358,847
282,570,848
542,270,848
588,605,849
572,269,849
564,275,850
579,302,850
533,321,851
440,626,851
0,427,852
182,351,852
525,279,853
527,273,853
540,272,854
318,565,854
533,268,855
535,266,855
997,633,856
997,634,856
540,307,857
536,312,857
309,541,858
307,532,858
973,280,859
971,275,859
0,439,860
192,352,860
169,353,861
0,419,861
971,294,862
972,277,862
581,293,863
562,600,863
954,281,864
950,280,864
542,260,865
285,552,865
569,276,866
498,592,866
510,318,867
536,270,867
601,266,868
600,266,868
654,598,869
856,320,869
537,264,870
536,262,870
586,301,871
502,595,871
1037,278,872
1037,279,872
659,573,873
1056,350,873
565,269,874
567,272,874
1038,280,875
1034,273,875
574,251,876
574,251,876
0,410,877
657,571,877
1038,280,878
1028,266,878
579,303,879
959,273,879
563,265,880
564,265,880
542,261,881
541,260,881
950,280,882
950,280,882
941,280,883
950,281,883
557,262,884
559,263,884
895,288,885
874,288,885
865,317,886
820,286,886
1000,275,887
995,276,887
582,290,888
581,287,888
0,407,889
930,277,889
505,617,890
586,291,890
178,353,891
124,358,891
89,380,892
0,396,892
978,236,893
980,236,893
574,275,894
573,274,894
5,447,895
1022,293,895
971,283,896
971,285,896
972,285,897
974,282,897
0,418,898
187,347,898
906,241,899
955,232,899
946,279,900
943,280,900
863,232,901
857,232,901
550,301,902
540,283,902
0,431,903
175,354,903
4,441,904
26,442,904
972,284,905
973,284,905
24,421,906
1033,287,906
574,254,907
573,254,907
971,281,908
971,281,908
0,406,909
328,349,909
876,294,910
1010,279,910
943,279,911
942,279,911
462,319,912
469,322,912
978,281,913
978,281,913
984,280,914
988,284,914
337,361,915
825,299,915
973,283,916
973,282,916
949,278,917
946,279,917
542,263,918
539,260,918
884,292,919
864,287,919
5,425,920
1029,285,920
188,352,921
0,424,921
859,294,922
661,603,922
1024,278,923
837,295,923
976,283,924
974,277,924
0,402,925
276,365,925
948,278,926
948,279,926
1024,294,927
6,445,927
930,282,928
946,279,928
972,284,929
974,280,929
0,414,930
782,299,930
819,279,931
819,281,931
1028,292,932
5,431,932
819,281,933
0,391,933
177,346,934
180,346,934
4,454,935
1008,341,935
179,346,936
180,346,936
2,400,937
692,572,937
12,429,938
0,417,938
973,286,939
964,279,939
821,297,940
750,302,940
915,283,941
941,281,941
2,436,942
1016,328,942
607,269,943
607,269,943
924,290,944
940,286,944
180,346,945
179,345,945
968,293,946
969,293,946
180,344,947
180,345,947
879,283,948
0,402,948
179,344,949
180,345,949
3,443,950
1054,340,950
1,440,951
1023,329,951
180,345,952
180,346,952
262,366,953
871,285,953
0,416,954
1020,277,954
1058,350,955
4,461,955
1022,291,956
4,431,956
151,386,957
607,302,957
179,344,958
179,344,958
84,441,959
5,446,959
179,345,960
180,346,960
1012,347,961
4,454,961
180,345,962
180,346,962
735,301,963
490,331,963
180,345,964
179,345,964
5,438,965
1006,335,965
610,264,966
610,264,966
852,291,967
0,403,967
610,264,968
610,264,968
610,264,969
608,264,969
1030,281,970
0,413,970
640,317,971
758,299,971
903,286,972
0,396,972
0,397,973
788,307,973
857,293,974
815,294,974
180,346,975
179,346,975
193,346,976
180,351,976
181,346,977
179,344,977
287,419,978
1054,332,978
195,411,979
11,437,979
535,282,980
519,314,980
7,456,981
1054,343,981
535,248,982
536,250,982
506,325,983
775,297,983
0,386,984
9,384,984
479,390,985
519,321,985
474,332,986
218,371,986
74,389,987
74,388,987
5,447,988
1057,347,988
28,404,989
34,399,989
5,479,990
1053,366,990
0,421,991
0,420,991
372,349,992
250,369,992
40,375,993
103,368,993
46,405,994
0,415,994
569,287,995
484,546,995
539,275,996
538,276,996
634,297,997
811,284,997
6,378,998
7,378,998
0,396,999
177,379,999
133,323,1000
134,325,1000
221,386,1001
125,394,1001
0,426,1002
38,393,1002
341,347,1003
99,388,1003
537,257,1004
536,257,1004
579,299,1005
626,278,1005
276,546,1006
523,293,1006
977,604,1007
1090,441,1007
614,268,1008
614,267,1008
456,566,1009
537,276,1009
533,290,1010
319,556,1010
179,350,1011
180,351,1011
570,274,1012
571,274,1012
613,266,1013
613,267,1013
179,349,1014
179,350,1014
128,326,1015
127,326,1015
571,264,1016
574,269,1016
572,268,1017
573,269,1017
613,267,1018
613,267,1018
290,563,1019
519,315,1019
179,349,1020
179,351,1020
79,385,1021
0,420,1021
614,267,1022
614,268,1022
127,323,1023
128,323,1023
0,404,1024
958,284,1024
539,265,1025
538,274,1025
994,274,1026
1010,269,1026
413,390,1027
222,535,1027
964,277,1028
965,280,1028
440,328,1029
944,279,1029
34,403,1030
70,384,1030
899,279,1031
681,291,1031
1014,275,1032
984,281,1032
955,279,1033
0,404,1033
1026,275,1034
981,273,1034
414,341,1035
0,401,1035
935,283,1036
457,335,1036
666,290,1037
548,266,1037
1010,275,1038
1000,278,1038
951,287,1039
0,402,1039
178,353,1040
179,352,1040
1054,271,1041
1055,271,1041
0,400,1042
413,338,1042
920,278,1043
925,276,1043
563,267,1044
874,280,1044
1052,332,1045
7,447,1045
994,277,1046
1061,268,1046
857,285,1047
935,282,1047
1025,279,1048
996,278,1048
0,401,1049
953,283,1049
547,263,1050
544,262,1050
730,302,1051
588,300,1051
179,354,1052
179,354,1052
484,320,1053
514,328,1053
561,265,1054
561,266,1054
0,395,1055
421,332,1055
157,420,1056
1059,337,1056
561,277,1057
560,277,1057
177,353,1058
178,353,1058
178,352,1059
177,350,1059
629,315,1060
941,281,1060
959,296,1061
1011,277,1061
179,352,1062
179,351,1062
0,402,1063
945,284,1063
1060,358,1064
17,456,1064
158,381,1065
922,282,1065
178,351,1066
179,351,1066
23,432,1067
9,433,1067
1050,346,1068
6,460,1068
80,423,1069
1060,295,1069
378,348,1070
0,403,1070
855,292,1071
859,292,1071
16,444,1072
1061,304,1072
996,290,1073
995,291,1073
576,320,1074
517,329,1074
14,453,1075
1052,338,1075
243,369,1076
0,396,1076
1005,271,1077
992,274,1077
941,281,1078
0,397,1078
969,278,1079
970,278,1079
951,278,1080
951,278,1080
1017,277,1081
1023,279,1081
119,379,1082
110,375,1082
951,278,1083
951,277,1083
36,391,1084
0,390,1084
1011,276,1085
1012,277,1085
952,277,1086
952,273,1086
1011,278,1087
1013,280,1087
74,377,1088
0,372,1088
607,307,1089
630,613,1089
77,378,1090
75,378,1090
1046,337,1091
662,569,1091
954,277,1092
953,276,1092
72,378,1093
71,379,1093
55,399,1094
5,401,1094
92,388,1095
90,388,1095
82,382,1096
81,383,1096
970,280,1097
970,279,1097
0,425,1098
0,425,1098
94,385,1099
74,385,1099
605,289,1100
600,291,1100
0,423,1101
33,411,1101
582,299,1102
559,658,1102
1012,280,1103
1008,278,1103
598,586,1104
594,312,1104
1010,280,1105
1010,280,1105
535,596,1106
575,330,1106
580,292,1107
580,292,1107
